id,name
base.state_jp_jp-01,"Hokkaido"
base.state_jp_jp-02,"Aomori"
base.state_jp_jp-03,"Iwate"
base.state_jp_jp-04,"Miyagi"
base.state_jp_jp-05,"Akita"
base.state_jp_jp-06,"Yamagata"
base.state_jp_jp-07,"Fukushima"
base.state_jp_jp-08,"Ibaraki"
base.state_jp_jp-09,"Tochigi"
base.state_jp_jp-10,"Gunma"
base.state_jp_jp-11,"Saitama"
base.state_jp_jp-12,"Chiba"
base.state_jp_jp-13,"Tokyo"
base.state_jp_jp-14,"Kanagawa"
base.state_jp_jp-15,"Niigata"
base.state_jp_jp-16,"Toyama"
base.state_jp_jp-17,"Ishikawa"
base.state_jp_jp-18,"Fukui"
base.state_jp_jp-19,"Yamanashi"
base.state_jp_jp-20,"Nagano"
base.state_jp_jp-21,"Gifu"
base.state_jp_jp-22,"Shizuoka"
base.state_jp_jp-23,"Aichi"
base.state_jp_jp-24,"Mie"
base.state_jp_jp-25,"Shiga"
base.state_jp_jp-26,"Kyoto"
base.state_jp_jp-27,"Osaka"
base.state_jp_jp-28,"Hyogo"
base.state_jp_jp-29,"Nara"
base.state_jp_jp-30,"Wakayama"
base.state_jp_jp-31,"Tottori"
base.state_jp_jp-32,"Shimane"
base.state_jp_jp-33,"Okayama"
base.state_jp_jp-34,"Hiroshima"
base.state_jp_jp-35,"Yamaguchi"
base.state_jp_jp-36,"Tokushima"
base.state_jp_jp-37,"Kagawa"
base.state_jp_jp-38,"Ehime"
base.state_jp_jp-39,"Kochi"
base.state_jp_jp-40,"Fukuoka"
base.state_jp_jp-41,"Saga"
base.state_jp_jp-42,"Nagasaki"
base.state_jp_jp-43,"Kumamoto"
base.state_jp_jp-44,"Oita"
base.state_jp_jp-45,"Miyazaki"
base.state_jp_jp-46,"Kagoshima"
base.state_jp_jp-47,"Okinawa"
